expression,reading,meaning,tags,part_of_speech
弱点,じゃくてん,weak point; weakness,JLPT_2,noun
車庫,しゃこ,garage; car shed,JLPT_2,noun
車掌,しゃしょう,(train) conductor,JLPT_2,noun
写生,しゃせい,sketching; drawing from nature,JLPT_2,noun
社説,しゃせつ,editorial,JLPT_2,noun
しゃっくり,しゃっくり,hiccough; hiccup,JLPT_2,noun
シャッター,シャッター,shutter,JLPT_2,noun
しゃぶる,しゃぶる,to suck; to chew,JLPT_2,verb
車輪,しゃりん,(car) wheel,JLPT_2,noun
洒落,しゃれ,joke; pun; witticism,JLPT_2,noun
じゃんけん,じゃんけん,rock-scissors-paper game,JLPT_2,verb
～手,～しゅ,~ player; person who does ~,JLPT_2,noun
～酒,～しゅ,kind of alcohol,JLPT_2,noun
～集,～しゅう,collection of ~,JLPT_2,noun
重～,じゅう～,heavy ~,JLPT_2,noun
集会,しゅうかい,meeting; assembly,JLPT_2,noun
集金,しゅうきん,money collection,JLPT_2,noun
集合,しゅうごう,gathering; assembly,JLPT_2,noun
習字,しゅうじ,penmanship,JLPT_2,noun
修繕,しゅうぜん,repair; mending,JLPT_2,noun
じゅうたん (カーペット),じゅうたん (カーペット),carpet,JLPT_2,noun
終点,しゅうてん,terminus; last stop (e.g train),JLPT_2,noun
重点,じゅうてん,important point; lay stress on; emphasis,JLPT_2,noun
リズム,リズム,rhythm,JLPT_2,noun
リットル,リットル,liter,JLPT_2,noun
リボン,リボン,ribbon,JLPT_2,noun
略す,りゃくす,to abbreviate,JLPT_2,verb
～流,～りゅう,fashion; manner; way,JLPT_2,noun
流域,りゅういき,(river) basin,JLPT_2,noun
両～,りょう～,both ~,JLPT_2,noun
～料,～りょう,fare; charge,JLPT_2,noun
～領,～りょう,territory,JLPT_2,noun
両側,りょうがわ,both sides,JLPT_2,noun
漁師,りょうし,fisherman,JLPT_2,noun
領事,りょうじ,consul,JLPT_2,noun
領収,りょうしゅう,receipt; voucher,JLPT_2,noun
～力,～りょく,power of ~,JLPT_2,noun
臨時,りんじ,temporary; special; extraordinary,JLPT_2,noun
留守番,るすばん,care-taking; caretaker; house-watching,JLPT_2,noun
零点,れいてん,zero; no marks,JLPT_2,noun
冷凍,れいとう,freezing; cold storage; refrigeration,JLPT_2,noun
レインコート,レインコート,raincoat,JLPT_2,noun
レクリェーション,レクリェーション,recreation,JLPT_2,noun
レジャー,レジャー,leisure,JLPT_2,noun
列島,れっとう,chain of islands,JLPT_2,noun
リポート,リポート,report; paper,JLPT_2,noun
煉瓦,れんが,brick,JLPT_2,noun
連合,れんごう,union; alliance,JLPT_2,noun
レンズ,レンズ,lens,JLPT_2,noun
ろうそく,ろうそく,candle,JLPT_2,noun
ローマ字,ローマじ,romanization; Roman letters (alphabet),JLPT_2,noun
録音,ろくおん,(audio) recording,JLPT_2,noun
ロッカー,ロッカー,locker,JLPT_2,noun
ロビー,ロビー,lobby,JLPT_2,noun
～論,～ろん,theory,JLPT_2,noun
論ずる,ろんずる,to argue; to discuss,JLPT_2,verb
和～,わ～,Japanese style,JLPT_2,noun
～羽,～わ,counter for rabbits; birds,JLPT_2,noun
和英,わえい,Japanese-English,JLPT_2,noun
我～,わが～,our ~,JLPT_2,noun
若々しい,わかわかしい,youthful; young,JLPT_2,adjective
詫びる,わびる,to apologize,JLPT_2,verb
和服,わふく,Japanese clothes,JLPT_2,noun
割合に,わりあいに,relatively; comparatively,JLPT_2,noun
割算,わりざん,division (math),JLPT_2,noun
割と,わりと,relatively; comparatively,JLPT_2,noun
割引,わりびき,discount,JLPT_2,noun
ワンピース,ワンピース,one-piece dress,JLPT_2,noun
アイデア; アイディア,アイデア; アイディア,idea,JLPT_2,noun
あいまい,あいまい,vague; ambiguous,JLPT_2,adjective
扇ぐ,あおぐ,to fan; to flap,JLPT_2,verb
青白い,あおじろい,pale,JLPT_2,adjective
呆れる,あきれる,to be shocked; to be appalled,JLPT_2,verb
アクセント,アクセント,accent,JLPT_2,noun
あくび,あくび,yawn,JLPT_2,noun
飽くまで,あくまで,to the end; to the last; stubbornly,JLPT_2,adverb
明くる～,あくる～,next; following,JLPT_2,noun
明け方,あけがた,dawn,JLPT_2,noun
憧れる,あこがれる,to long for; to yearn after,JLPT_2,verb
朝寝坊,あさねぼう,oversleeping; late riser,JLPT_2,noun
足跡,あしあと,footprint,JLPT_2,noun
足元,あしもと,at one's feet,JLPT_2,noun
味わう,あじわう,to taste; to savor,JLPT_2,verb
あちらこちら,あちらこちら,here and there,JLPT_2,noun
厚かましい,あつかましい,impudent; shameless;,JLPT_2,adjective
圧縮,あっしゅく,compression; condensation; pressure,JLPT_2,noun
宛名,あてな,address; direction,JLPT_2,noun
当てはまる,あてはまる,to be applicable; to come under (a category),JLPT_2,verb
当てはめる,あてはめる,to apply; to adapt,JLPT_2,verb
暴れる,あばれる,to act violently; to rage,JLPT_2,verb
あぶる,あぶる,to scorch; to roast,JLPT_2,verb
あふれる,あふれる,to flood; to overflow,JLPT_2,verb
雨戸,あまど,sliding storm door,JLPT_2,noun
甘やかす,あまやかす,to pamper; to spoil,JLPT_2,verb
余る,あまる,to be left over; to be in excess,JLPT_2,verb
編み物,あみもの,knitting,JLPT_2,noun
編む,あむ,to knit,JLPT_2,verb
危うい,あやうい,dangerous; critical,JLPT_2,adjective
怪しい,あやしい,suspicious; dubious; doubtful,JLPT_2,adjective
荒い,あらい,rough; rude; wild,JLPT_2,adjective
粗い,あらい,coarse; rough,JLPT_2,adjective
粗筋,あらすじ,outline; synopsis,JLPT_2,noun
改めて,あらためて,another time; again,JLPT_2,adverb
改める,あらためる,to change; to reform; to revise,JLPT_2,verb
有難い,ありがたい,grateful; thankful; appreciated,JLPT_2,adjective
あれこれ,あれこれ,one thing or another; this and that,JLPT_2,noun
荒れる,あれる,to be stormy; to be rough; to be ruined,JLPT_2,verb
慌ただしい,あわただしい,busy; hurried,JLPT_2,adjective
安易,あんい,easy-going,JLPT_2,adjective
アンテナ,アンテナ,antenna,JLPT_2,noun
～位,～い,~th place,JLPT_2,noun
言い出す,いいだす,to start talking; to suggest,JLPT_2,verb
言い付ける,いいつける,to tell; to order,JLPT_2,verb
意義,いぎ,meaning; significance,JLPT_2,noun
生き生き,いきいき,vividly; lively,JLPT_2,adverb
いきなり,いきなり,all of a sudden,JLPT_2,adverb
幾～,いく～,several ~,JLPT_2,noun
育児,いくじ,childcare; nursing,JLPT_2,noun
幾分,いくぶん,somewhat,JLPT_2,noun
生け花,いけばな,flower arrangement,JLPT_2,noun
以後,いご,after this; from now on; hereafter,JLPT_2,noun
以降,いこう,on and after; hereafter,JLPT_2,noun
イコール,イコール,equal,JLPT_2,noun
勇ましい,いさましい,brave; valiant,JLPT_2,adjective
衣食住,いしょくじゅう,food; clothing and shelter,JLPT_2,noun
～いち (にほんいち),～いち (にほんいち),No. 1 ~ (in),JLPT_2,noun
いちいち,いちいち,one by one; separately,JLPT_2,adverb
一応,いちおう,tentatively; for the time being,JLPT_2,adverb
一段と,いちだんと,by far; greater,JLPT_2,adverb
一流,いちりゅう,first class; leading,JLPT_2,noun
一昨日,いっさくじつ,day before yesterday,JLPT_2,noun
一昨年,いっさくねん,year before last,JLPT_2,noun
一斉,いっせい,simultaneous; all at once,JLPT_2,noun
一旦,いったん,once; for a moment,JLPT_2,adverb
一定,いってい,fixed; settled; regular,JLPT_2,noun
行っていらっしゃい,いっていらっしゃい,have a nice day; see you,JLPT_2,verb
行ってらっしゃい,いってらっしゃい,have a nice day; see you,JLPT_2,verb
いってまいります,いってまいります,(Lit.) I'll go and come back; 'I'm going; see you later',JLPT_2,verb
いってきます,いってきます,(Lit.) I'll go and come back; 'I'm going; see you later',JLPT_2,verb
移転,いてん,moving; transfer,JLPT_2,noun
井戸,いど,water well,JLPT_2,noun
緯度,いど,latitude (navigation),JLPT_2,noun
威張る,いばる,to be proud; to swagger,JLPT_2,verb
嫌がる,いやがる,reluctant; to dislike,JLPT_2,verb
いよいよ,いよいよ,more and more; increasingly; at last,JLPT_2,adverb
煎る,いる,to roast,JLPT_2,verb
炒る,いる,to parch; to roast,JLPT_2,verb
入れ物,いれもの,container; case,JLPT_2,noun
インキ,インキ,ink,JLPT_2,noun
引力,いんりょく,gravity,JLPT_2,noun
ウーマン,ウーマン,woman,JLPT_2,noun
ウール,ウール,wool,JLPT_2,noun
ウエートレス,ウエートレス,waitress,JLPT_2,noun
植木,うえき,garden shrubs; trees; potted plant,JLPT_2,noun
飢える,うえる,to starve,JLPT_2,verb
浮ぶ,うかぶ,to float; to rise to surface; to come to mind,JLPT_2,verb
浮かべる,うかべる,to float; to express,JLPT_2,verb
浮く,うく,to float,JLPT_2,verb
承る,うけたまわる,(humble) to hear; to be told; to know,JLPT_2,verb
受取,うけとり,receipt,JLPT_2,noun
受け持つ,うけもつ,to take (be in) charge of,JLPT_2,verb
薄暗い,うすぐらい,dim; gloomy,JLPT_2,adjective
薄める,うすめる,to dilute; to water down,JLPT_2,verb
打合せ,うちあわせ,business meeting; previous arrangement,JLPT_2,noun
打ち消す,うちけす,to deny; to negate,JLPT_2,verb
うどん,うどん,udon noodles (Japanese traditional noodles),JLPT_2,noun
うなずく,うなずく,to nod,JLPT_2,verb
敬う,うやまう,to show respect; to honor,JLPT_2,verb
裏返す,うらがえす,to turn inside out; to turn (something) over,JLPT_2,verb
裏口,うらぐち,backdoor; rear entrance,JLPT_2,noun
占う,うらなう,to predict; to divine,JLPT_2,verb
恨み,うらみ,resentment,JLPT_2,noun
恨む,うらむ,to curse; to feel bitter,JLPT_2,verb
羨む,うらやむ,to envy,JLPT_2,verb
売上,うりあげ,amount sold; proceeds,JLPT_2,noun
売り切れ,うりきれ,sold-out,JLPT_2,noun
売り切れる,うりきれる,to be sold out,JLPT_2,verb
売行き,うれゆき,sales,JLPT_2,noun
うろうろ,うろうろ,loitering; aimless wandering,JLPT_2,adverb
上～,うわ～,upper ~,JLPT_2,noun
運河,うんが,canal; waterway,JLPT_2,noun
うんと,うんと,a great deal; very much,JLPT_2,other
英文,えいぶん,sentence in English,JLPT_2,noun
英和,えいわ,English-Japanese (e.g.; dictionary),JLPT_2,noun
ええと,ええと,let me see; well; er...,JLPT_2,other
液体,えきたい,liquid; fluid,JLPT_2,noun
エチケット,エチケット,etiquette,JLPT_2,noun
絵の具,えのぐ,colors; paints,JLPT_2,noun
エプロン,エプロン,apron,JLPT_2,noun
偉い,えらい,great; celebrated; remarkable;,JLPT_2,adjective
～園,～えん,~ garden (especially man made),JLPT_2,noun
宴会,えんかい,party; banquet,JLPT_2,noun
園芸,えんげい,horticulture; gardening,JLPT_2,noun
演劇,えんげき,play (theatrical),JLPT_2,noun
円周,えんしゅう,circumference,JLPT_2,noun
遠足,えんそく,trip; hike; picnic,JLPT_2,noun
延長,えんちょう,extension; prolongation,JLPT_2,noun
煙突,えんとつ,chimney,JLPT_2,noun
御～,おん～,honorific ~,JLPT_2,noun
追いかける,おいかける,to chase or run after someone,JLPT_2,verb
追い越す,おいこす,to pass (e.g.; car); to outdistance; to outstrip,JLPT_2,verb
オイル,オイル,oil,JLPT_2,noun
王女,おうじょ,princess,JLPT_2,noun
応ずる,おうずる,to respond; to comply with,JLPT_2,verb
応接,おうせつ,reception,JLPT_2,noun
応対,おうたい,receiving; dealing with,JLPT_2,noun
往復,おうふく,(col) round trip; coming and going; return ticket,JLPT_2,noun
欧米,おうべい,Europe and America; the West,JLPT_2,noun
応用,おうよう,application; put to practical use,JLPT_2,noun
電波,でんぱ,electro-magnetic wave,JLPT_2,noun
テンポ,テンポ,tempo,JLPT_2,noun
電流,でんりゅう,electric current,JLPT_2,noun
電力,でんりょく,electric power,JLPT_2,noun
問い合わせ,といあわせ,inquiry,JLPT_2,noun
～頭,～とう,counter for animals,JLPT_2,noun
～等,～とう,level; place,JLPT_2,noun
～島,～とう,kind of islands,JLPT_2,noun
銅,どう,copper,JLPT_2,noun
同～,どう～,same ~,JLPT_2,noun
～道,～どう,kind of path; road,JLPT_2,noun
どういたしまして (かん),どういたしまして (かん),you are welcome; don't mention it,JLPT_2,noun
統一,とういつ,unity; consolidation; uniformity,JLPT_2,noun
同格,どうかく,the same rank; equality; apposition,JLPT_2,noun
峠,とうげ,ridge; (mountain) pass; difficult part,JLPT_2,noun
統計,とうけい,scattering; a scatter; dispersion,JLPT_2,noun
動作,どうさ,action; movements; motions,JLPT_2,noun
東西,とうざい,East and West; whole country,JLPT_2,noun
当日,とうじつ,appointed day; very day,JLPT_2,noun
投書,とうしょ,letter to the editor; letter from a reader; contribution,JLPT_2,noun
登場,とうじょう,entry (on stage),JLPT_2,noun
どうせ,どうせ,anyhow; in any case; at any rate,JLPT_2,adverb
灯台,とうだい,lighthouse,JLPT_2,noun
盗難,とうなん,theft; robbery,JLPT_2,noun
当番,とうばん,being on duty,JLPT_2,noun
等分,とうぶん,division into equal parts,JLPT_2,noun
透明,とうめい,transparency; cleanness,JLPT_2,adjective
灯油,とうゆ,lamp oil; kerosene,JLPT_2,noun
童話,どうわ,fairy tale,JLPT_2,noun
～通り,～とおり,in accordance with ~; following ~; ~ street; ~ avenue,JLPT_2,noun
通り掛かる,とおりかかる,to happen to pass by,JLPT_2,verb
溶かす,とかす,to melt; to dissolve,JLPT_2,verb
尖る,とがる,to taper to a point; to become sharp,JLPT_2,verb
どきどき,どきどき,throb; beat (fast),JLPT_2,adverb
特殊,とくしゅ,special; unique,JLPT_2,adjective
特色,とくしょく,characteristic; feature,JLPT_2,noun
特定,とくてい,specific; special; particular,JLPT_2,noun
特売,とくばい,special sale,JLPT_2,noun
溶け込む,とけこむ,to melt into; to become a part of,JLPT_2,verb
退ける,どける,to dislodge; to put something out of the way,JLPT_2,verb
床の間,とこのま,alcove,JLPT_2,noun
～ところ,～ところ,about to do ~,JLPT_2,noun
所々,ところどころ,here and there; some parts (of something),JLPT_2,noun
都心,としん,heart (of city),JLPT_2,noun
戸棚,とだな,cupboard; cabinet,JLPT_2,noun
とっくに,とっくに,long ago; already; a long time ago,JLPT_2,adverb
どっと,どっと,suddenly,JLPT_2,adverb
整う,ととのう,to be prepared; to be in order; to be arranged,JLPT_2,verb
留まる,とどまる,to be fixed; to abide; to stay (in the one place),JLPT_2,verb
怒鳴る,どなる,to shout; to yell,JLPT_2,verb
殿,どの,Mister (mostly in addressing someone on an envelope),JLPT_2,noun
飛び込む,とびこむ,to jump in; to leap in; to plunge into,JLPT_2,verb
留まる,とまる,to be fixed; to abide; to stay (in the one place),JLPT_2,verb
ともかく,ともかく,anyhow; at any rate; anyway,JLPT_2,adverb
捕える,とらえる,to seize; to capture; to arrest,JLPT_2,verb
取り入れる,とりいれる,to harvest; to take in; to adopt,JLPT_2,verb
取り消す,とりけす,to cancel,JLPT_2,verb
取り出す,とりだす,to take out; to pick out,JLPT_2,verb
採る,とる,to adopt (measure; proposal); to pick (fruit),JLPT_2,verb
捕る,とる,to take; to catch (fish),JLPT_2,verb
丼,どんぶり,porcelain bowl; bowl of rice with food on top,JLPT_2,noun
～内,～ない,inside ~,JLPT_2,noun
内科,ないか,internist clinic; internal medicine,JLPT_2,noun
内線,ないせん,phone extension,JLPT_2,noun
ナイロン,ナイロン,nylon,JLPT_2,noun
長～,なが～,long ~,JLPT_2,noun
仲直り,なかなおり,reconciliation; make peace with,JLPT_2,noun
長引く,ながびく,to be prolonged; to drag on,JLPT_2,verb
中指,なかゆび,middle finger,JLPT_2,noun
仲良し,なかよし,intimate friend; bosom buddy,JLPT_2,noun
慰める,なぐさめる,to comfort; to console,JLPT_2,verb
為す,なす,to accomplish; to do,JLPT_2,verb
謎謎,なぞなぞ,riddle,JLPT_2,noun
傾らか,なだらか,gradual; gentle,JLPT_2,noun
懐かしい,なつかしい,dear; desired; missed,JLPT_2,adjective
撫でる,なでる,to brush gently; to stroke,JLPT_2,verb
斜め,ななめ,diagonal; oblique,JLPT_2,noun
なにしろ,なにしろ,at any rate; in any case,JLPT_2,adverb
何々,なになに,such and such; What?,JLPT_2,noun
何分,なにぶん,by all means; please,JLPT_2,adverb
生意気,なまいき,impertinent; impudent,JLPT_2,noun
並木,なみき,roadside tree; row of trees,JLPT_2,noun
倣う,ならう,to imitate; to follow; to emulate,JLPT_2,verb
南極,なんきょく,south pole; Antarctic,JLPT_2,noun
なんとなく,なんとなく,somehow or other; for some reason or another,JLPT_2,adverb
なんとも,なんとも,nothing (with neg. verb); quite; not a bit,JLPT_2,adverb
ナンバー,ナンバー,number,JLPT_2,noun
南米,なんべい,South America,JLPT_2,noun
南北,なんぼく,south and north,JLPT_2,noun
匂う,におう,to be fragrant; to smell,JLPT_2,verb
逃がす,にがす,to let loose; to set free; to let escape,JLPT_2,verb
憎い,にくい,hateful; abominable; detestable,JLPT_2,adjective
～難い,～がたい,hard (difficult) to do ~,JLPT_1,adjective
憎む,にくむ,to hate; to detest,JLPT_2,verb
憎らしい,にくらしい,odious; hateful,JLPT_2,adjective
にこにこ,にこにこ,smile sweetly; smiley,JLPT_2,adverb
濁る,にごる,to become muddy; to get cloudy,JLPT_2,verb
虹,にじ,rainbow,JLPT_2,noun
日時,にちじ,date and time,JLPT_2,noun
日用品,にちようひん,daily necessities,JLPT_2,noun
日課,にっか,daily work; daily routine,JLPT_2,noun
日程,にってい,schedule,JLPT_2,noun
鈍い,にぶい,dull (e.g.; a knife); thickheaded; slow (opposite of fast); stupid,JLPT_2,adjective
入社,にゅうしゃ,entry to a company,JLPT_2,noun
女房,にょうぼう,wife,JLPT_2,noun
睨む,にらむ,to glare at; to stare; to keep an eye on,JLPT_2,verb
俄,にわか,sudden; abrupt; unexpected,JLPT_2,noun
縫う,ぬう,to sew,JLPT_2,verb
ねじ,ねじ,(a) screw,JLPT_2,noun
捩る,ねじる,to twist,JLPT_2,verb
ネックレス,ネックレス,necklace,JLPT_2,noun
熱する,ねっする,to heat,JLPT_2,verb
寝間着,ねまき,sleep-wear; pajamas,JLPT_2,noun
寝巻,ねまき,sleep-wear; pajamas,JLPT_2,noun
狙い,ねらい,aim,JLPT_2,noun
狙う,ねらう,to aim at,JLPT_2,verb
～年生,～ねんせい,counter for school year,JLPT_2,noun
年度,ねんど,year; fiscal year,JLPT_2,noun
農産物,のうさんぶつ,agricultural produce,JLPT_2,noun
農村,のうそん,agricultural community,JLPT_2,noun
濃度,のうど,concentration; density,JLPT_2,noun
農薬,のうやく,agricultural chemicals,JLPT_2,noun
能率,のうりつ,efficiency,JLPT_2,noun
のこぎり,のこぎり,saw,JLPT_2,noun
残らず,のこらず,completely; without exception,JLPT_2,verb
上り,のぼり,up-train (going to Tokyo); ascent,JLPT_2,noun
糊,のり,glue; paste; starch,JLPT_2,noun
乗換,のりかえ,a transfer (e.g.; trains; buses),JLPT_2,noun
乗り越し,のりこし,riding past (one's station),JLPT_2,verb
鈍い,のろい,dull (e.g.; a knife); slow (opposite of fast); stupid,JLPT_2,adjective
のろのろ,のろのろ,slowly; sluggishly,JLPT_2,adverb
呑気,のんき,carefree; optimistic; careless,JLPT_2,adjective
はい (かん),はい (かん),yes,JLPT_2,noun
灰色,はいいろ,grey; ashen,JLPT_2,noun
俳句,はいく,haiku poetry,JLPT_2,noun
売店,ばいてん,shop; stand,JLPT_2,noun
バイバイ,バイバイ,bye bye,JLPT_2,noun
売買,ばいばい,trade; buying and selling,JLPT_2,noun
這う,はう,to creep; to crawl,JLPT_2,verb
剥す,はがす,to tear off; to peel off; to rip off,JLPT_2,verb
ばからしい,ばからしい,absurd,JLPT_2,adjective
秤,はかり,scales; weighing machine,JLPT_2,noun
吐き気,はきけ,nausea; sickness in the stomach,JLPT_2,noun
はきはき,はきはき,clearly,JLPT_2,adverb
～泊,～はく,counter for staying (e.g.; 2 nights),JLPT_2,noun
歯車,はぐるま,gear; cog-wheel,JLPT_2,noun
バケツ,バケツ,bucket; pail,JLPT_2,noun
挟まる,はさまる,to get between; to be caught in,JLPT_2,verb
挟む,はさむ,to pinch; to hold between; to insert,JLPT_2,verb
梯子,はしご,ladder; stairs,JLPT_2,noun
始めに,はじめに,to begin with; first of all,JLPT_2,noun
初めに,はじめに,to begin with; first of all,JLPT_2,noun
はじめまして,はじめまして,How do you do; I am glad to meet you,JLPT_2,other
斜,はす,diagonal,JLPT_2,noun
パターン,パターン,pattern,JLPT_2,noun
肌着,はだぎ,underwear,JLPT_2,noun
果して,はたして,as was expected; really,JLPT_2,adverb
鉢,はち,a bowl; a pot,JLPT_2,noun
～発,～はつ,counter for bullets,JLPT_2,noun
×,ばつ,cross,JLPT_2,other
発揮,はっき,exhibition; demonstration; display,JLPT_2,noun
バック,バック,back,JLPT_2,noun
発想,はっそう,idea; way of thinking (same as 考え方 (かんがえかた)),JLPT_2,noun
発電,はつでん,generation (e.g.; power),JLPT_2,noun
発売,はつばい,sale,JLPT_2,noun
話合い,はなしあい,discussion; talk,JLPT_2,noun
話し掛ける,はなしかける,to accost a person; to talk (to someone),JLPT_2,verb
話中,はなしちゅう,while talking; the line is busy,JLPT_2,noun
甚だしい,はなはだしい,extreme; excessive; terrible,JLPT_2,adjective
花火,はなび,fireworks,JLPT_2,noun
花嫁,はなよめ,bride,JLPT_2,noun
ばね,ばね,spring (e.g.; coil; leaf),JLPT_2,noun
跳ねる,はねる,to jump; to leap,JLPT_2,verb
破片,はへん,fragment; broken piece,JLPT_2,noun
歯磨き,はみがき,toothbrushing; toothpaste,JLPT_2,noun
はめる,はめる,(col) to get in; to insert; to put on,JLPT_2,verb
早口,はやくち,fast-talking,JLPT_2,noun
払い込む,はらいこむ,to deposit; to pay in,JLPT_2,verb
払い戻す,はらいもどす,to repay; to pay back,JLPT_2,verb
針金,はりがね,wire,JLPT_2,noun
張り切る,はりきる,to be in high spirits; to be full of vigor,JLPT_2,verb
反～,はん～,anti ~; counter ~,JLPT_2,noun
反映,はんえい,reflection; influence,JLPT_2,noun
半径,はんけい,radius,JLPT_2,noun
判子,はんこ,seal (used for signature),JLPT_2,noun
万歳,ばんざい,banzai; Long live ~!,JLPT_2,noun
判事,はんじ,judge; justice,JLPT_2,noun
番地,ばんち,house number; address,JLPT_2,noun
パンツ,パンツ,underpants,JLPT_2,noun
バンド,バンド,band,JLPT_2,noun
半島,はんとう,peninsula,JLPT_2,noun
ハンドル,ハンドル,handle; steering wheel,JLPT_2,noun
～番目,～ばんめ,~th,JLPT_2,noun
非～,ひ～,anti~; counter~; an~; non~,JLPT_1,noun
～費,～ひ,cost of ~,JLPT_2,noun
日当たり,ひあたり,exposure to the sun; sunny place,JLPT_2,noun
日帰り,ひがえり,day trip,JLPT_2,noun
比較的,ひかくてき,comparatively; relatively,JLPT_2,adverb
日陰,ひかげ,shadow,JLPT_2,noun
ぴかぴか,ぴかぴか,glitter; sparkle,JLPT_2,adverb
引受る,ひきうける,to undertake; to take up; to take over,JLPT_2,noun
引き返す,ひきかえす,to turn back; to go back; reverse,JLPT_2,verb
引算,ひきざん,subtraction,JLPT_2,noun
引き出す,ひきだす,to pull out; to take out; to withdraw,JLPT_2,verb
引き止める,ひきとめる,to keep back; to prevent; to hold back,JLPT_2,verb
卑怯,ひきょう,cowardice; meanness; unfairness,JLPT_2,noun
引分け,ひきわけ,a draw (in competition); tie game,JLPT_2,noun
陽射,ひざし,sunlight; rays of the sun,JLPT_2,noun
肘,ひじ,elbow,JLPT_2,noun
ピストル,ピストル,pistol,JLPT_2,noun
ビタミン,ビタミン,vitamin,JLPT_2,noun
ぴたり,ぴたり,exactly; close-fitting,JLPT_2,adverb
引っ掛かる,ひっかかる,to be caught in; to be stuck in,JLPT_2,verb
筆記,ひっき,note taking; writing,JLPT_2,noun
引っ繰り返す,ひっくりかえす,to turn over; to overturn; to knock over,JLPT_2,verb
引っ繰り返る,ひっくりかえる,to be overturned; to be upset; to topple over; to be reversed,JLPT_2,verb
引っ込む,ひっこむ,to draw back; to sink; to cave in,JLPT_2,verb
筆者,ひっしゃ,writer; author,JLPT_2,noun
必需品,ひつじゅひん,necessities; essential,JLPT_2,noun
一～,ひと～,one ~,JLPT_2,noun
人差指,ひとさしゆび,index finger,JLPT_2,noun
一通り,ひととおり,general; briefly,JLPT_2,noun
人通り,ひとどおり,pedestrian traffic,JLPT_2,noun
ひとまず,ひとまず,for the present; once; for the time being,JLPT_2,adverb
瞳,ひとみ,pupil (of eye),JLPT_2,noun
一休み,ひとやすみ,a rest,JLPT_2,noun
独り言,ひとりごと,a soliloquy; a monologue; speaking to oneself,JLPT_2,noun
ひとりでに,ひとりでに,by itself; automatically; naturally,JLPT_2,adverb
ビニール,ビニール,vinyl,JLPT_2,noun
皮肉,ひにく,cynicism; sarcasm,JLPT_2,adjective
日日,ひにち,date,JLPT_2,noun
捻る,ひねる,to twist; to turn,JLPT_2,verb
日の入り,ひのいり,sunset,JLPT_2,noun
日の出,ひので,sunrise,JLPT_2,noun
響き,ひびき,echo; sound,JLPT_2,noun
響く,ひびく,to resound; to affect,JLPT_2,verb
皮膚,ひふ,skin,JLPT_2,noun
ひゃっかじてん,ひゃっかじてん,encyclopedia,JLPT_2,noun
美容,びよう,beauty of figure or form,JLPT_2,noun
～病,～びょう,kind of disease,JLPT_2,noun
表紙,ひょうし,front cover; binding,JLPT_2,noun
標識,ひょうしき,sign; mark,JLPT_2,noun
標準,ひょうじゅん,standard; level,JLPT_2,noun
標本,ひょうほん,example; specimen,JLPT_2,noun
評論,ひょうろん,criticism; critique,JLPT_2,noun
ビルディング,ビルディング,building,JLPT_2,noun
昼寝,ひるね,nap (at home); siesta,JLPT_2,noun
広さ,ひろさ,extent,JLPT_2,noun
広場,ひろば,plaza,JLPT_2,noun
広々,ひろびろ,extensive; spacious,JLPT_2,adverb
ピンク,ピンク,pink,JLPT_2,noun
便箋,びんせん,writing paper; stationery,JLPT_2,noun
瓶詰,びんづめ,bottling; bottled,JLPT_2,noun
～部,～ぶ,~ part,JLPT_2,noun
ファスナー,ファスナー,fastener; zipper,JLPT_2,noun
～風,～ふう,~ style,JLPT_2,noun
風船,ふうせん,balloon,JLPT_2,noun
不運,ふうん,unlucky; misfortune; bad luck,JLPT_2,noun
不規則,ふきそく,irregularity; unsteadiness,JLPT_2,noun
普及,ふきゅう,diffusion; spread,JLPT_2,noun
付近,ふきん,neighborhood; vicinity,JLPT_2,noun
副～,ふく～,vice ~,JLPT_2,noun
副詞,ふくし,adverb,JLPT_2,noun
複写,ふくしゃ,copy; duplicate,JLPT_2,noun
複数,ふくすう,plural; multiple,JLPT_2,noun
膨らます,ふくらます,to swell; to expand; to inflate,JLPT_2,verb
膨らむ,ふくらむ,to expand; to swell (out); to become inflated,JLPT_2,verb
不潔,ふけつ,unclean; dirty,JLPT_2,noun
更ける,ふける,to get late; to wear on,JLPT_2,verb
符号,ふごう,sign; mark; symbol,JLPT_2,noun
夫妻,ふさい,man and wife; married couple,JLPT_2,noun
塞がる,ふさがる,to be plugged up; to be shut up,JLPT_2,verb
塞ぐ,ふさぐ,to stuff; to close up; to block (up),JLPT_2,verb
ふざける,ふざける,to romp; to gambol; to frolic,JLPT_2,verb
無沙汰,ぶさた,neglecting to stay in contact,JLPT_2,noun
武士,ぶし,warrior; samurai,JLPT_2,noun
部首,ぶしゅ,radical (of a kanji character),JLPT_2,noun
襖,ふすま,sliding screen,JLPT_2,noun
附属,ふぞく,attached; belonging; affiliated,JLPT_2,noun
蓋,ふた,cover; lid; cap,JLPT_2,noun
物騒,ぶっそう,dangerous; disturbed; insecure,JLPT_2,adjective
ぶつぶつ,ぶつぶつ,grumbling; complaining in a small voice,JLPT_2,adverb
船便,ふなびん,surface mail (ship),JLPT_2,noun
部品,ぶひん,parts; accessories,JLPT_2,noun
吹雪,ふぶき,snow storm,JLPT_2,noun
父母,ふぼ,father and mother; parents,JLPT_2,noun
