expression,reading,romaji,meaning,tags,part_of_speech,most_200_verb,transitivity
整理,せいり,seiri,sorting; arrangement,JLPT_2,noun,o,transitive
咳,せき,seki,cough,JLPT_3,noun,x,
石炭,せきたん,sekitan,coal,JLPT_2,noun,x,
責任,せきにん,sekinin,duty; responsibility,JLPT_2,noun,x,
石油,せきゆ,sekiyu,oil; petroleum; kerosene,JLPT_2,noun,x,
世間,せけん,seken,world; society,JLPT_2,noun,x,
説,せつ,setsu,theory,JLPT_2,noun,x,
積極的,せっきょくてき,sekkyokuteki,positive; active; proactive,JLPT_2,noun,x,
設計,せっけい,sekkei,plan; design,JLPT_2,noun,o,transitive
絶対,ぜったい,zettai,definitely; without fail; absoluteness,JLPT_3,noun,x,
セット,セット,set,set,JLPT_2,noun,x,
愛,あい,ai,love,JLPT_2,noun,x,
相変わらず,あいかわらず,aikawarazu,as ever; as usual,JLPT_2,adverb,x,
愛情,あいじょう,aijou,love; affection,JLPT_2,noun,x,
合図,あいず,aizu,sign; signal,JLPT_2,noun,x,
アイスクリーム,アイスクリーム,icecream,ice cream,JLPT_2,noun,x,
愛する,あいする,aisuru,to love,JLPT_3,verb,o,transitive
相手,あいて,aite,partner; addressee; the person you are talking to,JLPT_2,noun,x,
あいにく,あいにく,ainiku,unfortunately,JLPT_2,adverb,x,
遭う,あう,au,to meet; to encounter (undesirable nuance),JLPT_2,verb,x,intransitive
アウト,アウト,out,out,JLPT_2,noun,x,
明かり,あかり,akari,lamplight; light (in general),JLPT_2,noun,x,
空き,あき,aki,vacancy; opening; space,JLPT_2,noun,x,
明らか,あきらか,akiraka,obvious; clear,JLPT_2,adjective,x,
諦める,あきらめる,akirameru,to give up; to abandon,JLPT_3,verb,x,transitive
飽きる,あきる,akiru,to get tired of; to lose interest in,JLPT_3,verb,x,intransitive
握手,あくしゅ,akushu,handshake,JLPT_2,noun,x,
悪魔,あくま,akuma,devil; demon; evil spirit,JLPT_2,noun,x,
明ける,あける,akeru,to dawn; to become daylight,JLPT_2,verb,x,both
揚げる,あげる,ageru,to lift; to fry,JLPT_2,verb,x,transitive
挙げる,あげる,ageru,to raise; to list; to cite,JLPT_2,verb,x,transitive
預かる,あずかる,azukaru,to keep (something) for (someone),JLPT_2,verb,x,transitive
預ける,あずける,azukeru,to give into custody; to deposit,JLPT_3,verb,x,transitive
汗,あせ,ase,sweat; perspiration,JLPT_2,noun,x,
与える,あたえる,ataeru,to give,JLPT_3,verb,x,transitive
温かい,あたたかい,atatakai,warm,JLPT_2,adjective,x,
暖まる,あたたまる,atatamaru,to warm up,JLPT_2,verb,x,intransitive
温まる,あたたまる,atatamaru,to warm oneself; to get warm,JLPT_2,verb,x,intransitive
暖める,あたためる,atatameru,to warm (up to someone/something); to heat (up to someone/something),JLPT_2,verb,x,transitive
温める,あたためる,atatameru,to warm; to heat,JLPT_2,verb,o,transitive
辺り,あたり,atari,vicinity; nearby,JLPT_2,noun,x,
当たり前,あたりまえ,atarimae,usual; common; obvious,JLPT_2,adjective,x,
当たる,あたる,ataru,to be hit; to be successful,JLPT_3,verb,x,both
あちこち,あちこち,achikochi,here and there,JLPT_2,noun,x,
扱う,あつかう,atsukau,to treat; to handle; to deal with,JLPT_3,verb,x,transitive
集まり,あつまり,atsumari,gathering; meeting; collection,JLPT_2,noun,x,
当てる,あてる,ateru,to hit; to apply to,JLPT_3,verb,x,transitive
跡,あと,ato,trace; remains; scar,JLPT_2,noun,x,
穴,あな,ana,hole,JLPT_2,noun,x,
油,あぶら,abura,oil,JLPT_2,noun,x,
脂,あぶら,abura,fat,JLPT_2,noun,x,
誤り,あやまり,ayamari,error,JLPT_2,noun,x,
粗,あら,ara,defect; flaw; fault,JLPT_2,adverb,x,
嵐,あらし,arashi,storm,JLPT_2,noun,x,
争う,あらそう,arasou,to dispute; to argue; to fight,JLPT_2,verb,x,intransitive
新た,あらた,arata,new; fresh,JLPT_2,adjective,x,
あらゆる,あらゆる,arayuru,all; every,JLPT_2,adjective,x,
表す,あらわす,arawasu,to express; to show,JLPT_2,verb,x,transitive
現す,あらわす,arawasu,to show; to appear; to reveal,JLPT_3,verb,x,transitive
著す,あらわす,arawasu,to write; to publish,JLPT_2,verb,x,transitive
現れ,あらわれ,araware,expression; indication; sign,JLPT_2,noun,x,
現れる,あらわれる,arawareru,to appear (v.i.); to become visible; to express,JLPT_3,verb,x,intransitive
ありがとう,ありがとう,arigatou,Thank you,JLPT_2,other,x,
在る; 有る,ある,aru,to live; to be; to exist,JLPT_2,verb,x,intransitive
或,ある,aru,a certain...; some...,JLPT_2,adjective,x,
あるいは,あるいは,aruiha,or; perhaps,JLPT_2,other,x,
アルバム,アルバム,album,album,JLPT_2,noun,x,
泡,あわ,awa,bubble; foam,JLPT_2,noun,x,
合わせる,あわせる,awaseru,to combine,JLPT_3,verb,x,transitive
慌てる,あわてる,awateru,to become confused、to panic,JLPT_2,verb,x,intransitive
哀れ,あわれ,aware,helpless; pity; pathetic,JLPT_2,noun,x,
案,あん,an,plan; scheme; proposal,JLPT_2,noun,x,
案外,あんがい,angai,unexpectedly,JLPT_2,adverb,x,
暗記,あんき,anki,memorization; learning by heart,JLPT_2,noun,x,
安定,あんてい,antei,stability; equilibrium,JLPT_2,adjective,x,
あんなに,あんなに,annani,to that extent; to that degree,JLPT_2,adverb,x,
あんまり,あんまり,anmari,not very; not much,JLPT_2,adverb,x,
胃,い,i,stomach,JLPT_3,noun,x,
委員,いいん,iin,committee member,JLPT_2,noun,x,
意外,いがい,igai,unexpected; surprising,JLPT_2,adjective,x,
行き,いき,iki,going,JLPT_3,verb,x,unspecified
行き,ゆき,yuki,going,JLPT_3,verb,x,unspecified
息,いき,iki,breath,JLPT_2,noun,x,
勢い,いきおい,ikioi,force; vigor; momentum,JLPT_2,noun,x,
生き物,いきもの,ikimono,living thing; creature,JLPT_2,noun,x,
いけない,いけない,ikenai,must not do; bad; wrong,JLPT_2,verb,x,unspecified
医師,いし,ishi,doctor; physician,JLPT_2,noun,x,
意思,いし,ishi,intention; purpose,JLPT_2,noun,x,
意志,いし,ishi,will; volition,JLPT_2,noun,x,
維持,いじ,iji,maintenance; preservation,JLPT_2,noun,x,
意識,いしき,ishiki,consciousness; senses,JLPT_2,noun,x,
異常,いじょう,ijou,strangeness; abnormality; disorder,JLPT_2,adjective,x,
意地悪,いじわる,ijiwaru,malicious; mean; unkind,JLPT_2,noun,x,
泉,いずみ,izumi,spring; fountain,JLPT_2,noun,x,
いずれ,いずれ,izure,where; which; who,JLPT_2,noun,x,
以前,いぜん,izen,in the past; before,JLPT_3,noun,x,
板,いた,ita,board; plank,JLPT_2,noun,x,
偉大,いだい,idai,greatness,JLPT_2,adjective,x,
抱く,いだく,idaku,to hold in arms (v.t.) (written expression); to embrace; to harbor,JLPT_3,verb,o,transitive
いたずら,いたずら,itazura,trick; practical joke,JLPT_2,noun,x,
いただきます,いただきます,itadakimasu,expression of gratitude before meals,JLPT_2,verb,x,transitive
痛み,いたみ,itami,pain; ache; sore,JLPT_2,noun,x,
至る,いたる,itaru,to come; to arrive,JLPT_3,verb,x,intransitive
市,いち,ichi,market; fair,JLPT_1,noun,x,
位置,いち,ichi,place; position,JLPT_2,noun,x,
一時,いちじ,ichiji,for a time; temporarily,JLPT_2,noun,x,
一度に,いちどに,ichidoni,all at once,JLPT_2,noun,x,
市場,いちば,ichiba,market; bazaar,JLPT_2,noun,x,
いつか,いつか,itsuka,sometime; one day,JLPT_2,noun,x,
一家,いっか,ikka,family; clan,JLPT_2,noun,x,
一種,いっしゅ,isshu,a species; a kind; a variety,JLPT_2,noun,x,
一瞬,いっしゅん,isshun,a moment; an instant,JLPT_2,noun,x,
一生,いっしょう,isshou,throughout (one's) life,JLPT_3,noun,x,
一層,いっそう,issou,much more; still more,JLPT_2,adverb,x,
一体,いったい,ittai,one object; body; what on earth?; generally,JLPT_2,noun,x,
一致,いっち,icchi,agreement; conformity,JLPT_2,noun,x,
いつでも,いつでも,itsudemo,(at) any time; always,JLPT_2,noun,x,
いつのまにか,いつのまにか,itsunomanika,before one knows,JLPT_2,adverb,x,
一般,いっぱん,ippan,general; average,JLPT_2,noun,x,
一方,いっぽう,ippou,on the other hand; meanwhile,JLPT_2,other,x,
いつまでも,いつまでも,itsumademo,forever; for good; eternally,JLPT_2,noun,x,
移動,いどう,idou,migration; movement,JLPT_2,noun,x,
従兄弟,いとこ,itoko,cousin (male),JLPT_2,noun,x,
従姉妹,いとこ,itoko,cousin (female),JLPT_2,noun,x,
稲,いね,ine,rice-plant,JLPT_2,noun,x,
居眠り,いねむり,inemuri,dozing; nodding off,JLPT_2,noun,x,
命,いのち,inochi,life,JLPT_2,noun,x,
違反,いはん,ihan,violation (of law); infringement,JLPT_2,noun,x,
衣服,いふく,ifuku,clothes,JLPT_2,noun,x,
居間,いま,ima,living room,JLPT_2,noun,x,
今に,いまに,imani,before long; soon,JLPT_2,adverb,x,
今にも,いまにも,imanimo,at any time; soon,JLPT_2,adverb,x,
イメージ,イメージ,image,one's image,JLPT_2,noun,x,
否,いや,iya,no; the noes,JLPT_2,other,x,
以来,いらい,irai,since; henceforth,JLPT_2,noun,x,
依頼,いらい,irai,request; dependence,JLPT_3,noun,o,transitive
いらいら,いらいら,iraira,getting nervous; irritation,JLPT_2,adverb,x,
いらっしゃい,いらっしゃい,irasshai,welcome,JLPT_2,noun,x,
医療,いりょう,iryou,medical care; medical treatment,JLPT_2,noun,x,
岩,いわ,iwa,rock,JLPT_2,noun,x,
祝い,いわい,iwai,celebration; festival,JLPT_2,noun,x,
祝う,いわう,iwau,to congratulate; to celebrate,JLPT_3,verb,x,transitive
言わば,いわば,iwaba,so to speak,JLPT_2,adverb,x,
いわゆる,いわゆる,iwayuru,the so-called; so-to-speak,JLPT_3,adjective,x,
インク,インク,ink,ink,JLPT_2,noun,x,
印刷,いんさつ,insatsu,printing,JLPT_2,noun,o,transitive
印象,いんしょう,inshou,impression,JLPT_2,noun,x,
引退,いんたい,intai,retirement,JLPT_2,noun,x,
インタビュー,インタビュー,interview,interview,JLPT_3,noun,x,
引用,いんよう,inyou,quotation; citation,JLPT_2,noun,x,
ウイスキー,ウイスキー,whisky,whiskey,JLPT_2,noun,x,
上,うわ,uwa,upper; outer; surface,JLPT_2,noun,x,
魚,うお,uo,fish,JLPT_2,noun,x,
うがい,うがい,ugai,gargling,JLPT_3,noun,x,
受け取る,うけとる,uketoru,to receive; to get; to accept,JLPT_3,verb,o,transitive
動かす,うごかす,ugokasu,to move (v.t.); to shift,JLPT_3,verb,o,transitive
兎,うさぎ,usagi,rabbit; hare,JLPT_2,noun,x,
牛,うし,ushi,cattle; cow,JLPT_3,noun,x,
失う,うしなう,ushinau,to lose (something important or abstract); to part with,JLPT_3,verb,o,transitive
疑う,うたがう,utagau,to doubt; to distrust,JLPT_3,verb,x,transitive
宇宙,うちゅう,uchuu,universe; cosmos; space,JLPT_2,noun,x,
討つ,うつ,utsu,to attack; to avenge,JLPT_2,verb,x,transitive
撃つ,うつ,utsu,to attack; to shoot,JLPT_2,verb,x,transitive
うっかり,うっかり,ukkari,carelessly; inadvertently,JLPT_3,adverb,x,
映す,うつす,utsusu,to project; to reflect; to cast (shadow),JLPT_2,verb,x,transitive
訴える,うったえる,uttaeru,to complain; to appeal; to sue (a person),JLPT_3,verb,x,transitive
写る,うつる,utsuru,to be photographed; to be projected,JLPT_2,verb,x,intransitive
映る,うつる,utsuru,to be reflected; to come out (photo),JLPT_2,verb,x,intransitive
うなる,うなる,unaru,to groan; to moan,JLPT_2,verb,x,both
奪う,うばう,ubau,to rob; to deprive,JLPT_3,verb,x,transitive
馬,うま,uma,horse; promoted bishop (in Japanese chess known as shogi),JLPT_3,noun,x,
生まれ,うまれ,umare,birth; birth-place,JLPT_2,noun,x,
有無,うむ,umu,yes or no; presence or absence,JLPT_2,noun,x,
梅,うめ,ume,plum; lowest (of a three-tier ranking system),JLPT_2,noun,x,
埋める,うめる,umeru,to bury; to fill up; to fill (a seat; a vacant position),JLPT_2,verb,x,transitive
裏切る,うらぎる,uragiru,to betray; to turn traitor,JLPT_3,verb,x,transitive
羨ましい,うらやましい,urayamashii,envious; enviable,JLPT_2,adjective,x,
売れる,うれる,ureru,to be sold,JLPT_3,verb,x,intransitive
噂,うわさ,uwasa,rumor; gossip,JLPT_2,noun,x,
運,うん,un,fortune; luck,JLPT_2,noun,x,
運転,うんてん,unten,operation; driving,JLPT_2,noun,x,
柄,え,e,handle (of a sword; dagger; etc.); grip,JLPT_1,noun,x,
永遠,えいえん,eien,eternity; perpetuity; immortality,JLPT_2,noun,x,
永久,えいきゅう,eikyuu,eternity; perpetuity; immortality,JLPT_2,noun,x,
影響,えいきょう,eikyou,influence; effect,JLPT_3,noun,x,
営業,えいぎょう,eigyou,business; trade; management,JLPT_2,noun,o,
衛星,えいせい,eisei,satellite,JLPT_1,noun,x,
栄養,えいよう,eiyou,nutrition; nourishment,JLPT_2,noun,x,
笑顔,えがお,egao,smile (on one's face),JLPT_3,noun,x,
描く,えがく,egaku,to draw; to depict; to describe,JLPT_3,verb,o,transitive
餌,えさ,esa,feed; bait,JLPT_2,noun,x,
エネルギー,エネルギー,energy,energy (GER: energie),JLPT_2,noun,x,
得る,える,eru,to get; to gain; to win; to learn,JLPT_3,verb,x,transitive
得る,うる,uru,to get; to gain; to win,JLPT_3,verb,x,transitive
円,えん,en,circle; yen,JLPT_2,noun,x,
延期,えんき,enki,postponement; adjournment,JLPT_2,noun,o,
演技,えんぎ,engi,acting; performance,JLPT_2,noun,x,
援助,えんじょ,enjo,assistance; aid; support,JLPT_2,noun,x,
エンジン,エンジン,engine,engine,JLPT_2,noun,x,
演説,えんぜつ,enzetsu,speech; address,JLPT_2,noun,x,
演奏,えんそう,ensou,musical performance,JLPT_2,noun,x,
老い,おい,oi,old age; the aged,JLPT_2,noun,x,
追い付く,おいつく,oitsuku,to overtake; to catch up (with),JLPT_2,verb,x,intransitive
王,おう,ou,king,JLPT_2,noun,x,
追う,おう,ou,to chase; to run after,JLPT_3,verb,x,transitive
応援,おうえん,ouen,aid; assistance; help,JLPT_2,noun,x,
王様,おうさま,ousama,king,JLPT_2,noun,x,
王子,おうじ,ouji,prince,JLPT_2,noun,x,
応じる,おうじる,oujiru,to adapt; to respond; to comply with,JLPT_3,verb,x,intransitive
横断,おうだん,oudan,crossing,JLPT_2,noun,x,
終える,おえる,oeru,to finish,JLPT_3,verb,x,both
大いに,おおいに,ooini,much; considerably (same as 大変 (たいへん)); greatly,JLPT_3,adverb,x,
覆う,おおう,oou,to cover; to hide; to conceal,JLPT_3,verb,x,transitive
大家,おおや,ooya,landlord,JLPT_2,noun,x,
丘,おか,oka,hill; height,JLPT_2,noun,x,
沖,おき,oki,open sea,JLPT_2,noun,x,
奥,おく,oku,interior; inner part,JLPT_2,noun,x,
贈る,おくる,okuru,to present; to give to; to award to,JLPT_3,verb,x,transitive
起こる,おこる,okoru,to occur; to happen,JLPT_3,verb,x,intransitive
押える,おさえる,osaeru,to stop; to restrain; to press down,JLPT_2,verb,x,transitive
幼い,おさない,osanai,very young; childish,JLPT_2,adjective,x,
収める,おさめる,osameru,to store to pay; to supply,JLPT_2,verb,x,transitive
納める,おさめる,osameru,to store to pay; to supply,JLPT_2,verb,x,transitive
治める,おさめる,osameru,to govern; to manage; to subdue,JLPT_2,verb,x,transitive
お辞儀,おじぎ,ojigi,bow,JLPT_2,noun,x,
お洒落,おしゃれ,oshare,smartly dressed; fashion-conscious,JLPT_2,noun,x,
お喋り,おしゃべり,oshaberi,chattering; talk,JLPT_2,noun,x,
汚染,おせん,osen,pollution; contamination,JLPT_2,noun,x,
恐らく,おそらく,osoraku,perhaps,JLPT_2,adverb,x,
恐れる,おそれる,osoreru,to fear; to be afraid of,JLPT_3,verb,x,transitive
恐ろしい,おそろしい,osoroshii,terrible; dreadful,JLPT_2,adjective,x,
教わる,おそわる,osowaru,to be taught,JLPT_2,verb,x,transitive
お互い,おたがい,otagai,mutual; reciprocal; each other,JLPT_3,noun,x,
穏やか,おだやか,odayaka,calm; gentle; quiet,JLPT_2,adjective,x,
男の人,おとこのひと,otokonohito,man,JLPT_3,noun,x,
大人しい,おとなしい,otonashii,obedient; docile; quiet,JLPT_2,adjective,x,
劣る,おとる,otoru,to fall behind; to be inferior to,JLPT_3,verb,x,intransitive
鬼,おに,oni,ogre; demon; 'it' (e.g.;in a game of tag),JLPT_2,noun,x,
帯,おび,obi,band; sash,JLPT_2,noun,x,
お昼,おひる,ohiru,lunch; noon,JLPT_2,noun,x,
オフィス,オフィス,office,office,JLPT_2,noun,x,
溺れる,おぼれる,oboreru,to be drowned; to indulge in,JLPT_3,verb,x,intransitive
お前,おまえ,omae,you (sing); presence (of a high personage),JLPT_2,noun,x,
おめでとう,おめでとう,omedetou,Congratulations!; an auspicious occasion!,JLPT_2,other,x,
お目に掛かる,おめにかかる,omenikakaru,meet ~; see ~,JLPT_2,verb,x,intransitive
思い付く,おもいつく,omoitsuku,to think of; to hit upon,JLPT_2,verb,x,both
思い出,おもいで,omoide,memories; recollections; reminiscence,JLPT_3,noun,x,
主に,おもに,omoni,mainly; primarily,JLPT_2,adjective,x,
思わず,おもわず,omowazu,unintentional; spontaneous,JLPT_2,adverb,x,
泳ぎ,およぎ,oyogi,swimming,JLPT_2,noun,x,
およそ,およそ,oyoso,about; roughly; approximately,JLPT_2,adverb,x,
及ぼす,およぼす,oyobosu,to exert; to cause; to exercise,JLPT_3,verb,x,transitive
下す,おろす,orosu,to lower; to let go down,JLPT_2,verb,x,transitive
降ろす,おろす,orosu,to take down; to launch; to drop,JLPT_2,verb,x,transitive
卸す,おろす,orosu,to sell wholesale; grated (vegetables),JLPT_2,verb,x,transitive
音,おん,on,sound; note,JLPT_2,noun,x,
恩,おん,on,favor; obligation; debt of gratitude,JLPT_2,noun,x,
温暖,おんだん,ondan,warmth,JLPT_2,adjective,x,
温度,おんど,ondo,temperature,JLPT_2,noun,x,
可,か,ka,passable,JLPT_2,noun,x,
蚊,か,ka,mosquito,JLPT_3,noun,x,
課,か,ka,department; division,JLPT_2,noun,x,
カー,カー,car,car,JLPT_2,noun,x,
カード,カード,card,card; curd,JLPT_2,noun,x,
貝,かい,kai,shell; shellfish,JLPT_2,noun,x,
害,がい,gai,harm; damage,JLPT_2,noun,x,
会員,かいいん,kaiin,member; the membership,JLPT_2,noun,x,
絵画,かいが,kaiga,picture; painting,JLPT_2,noun,x,
海外,かいがい,kaigai,foreign; abroad; overseas,JLPT_2,noun,x,
会計,かいけい,kaikei,account; finance,JLPT_2,noun,x,
解決,かいけつ,kaiketsu,settlement; solution; resolution,JLPT_2,noun,o,
会合,かいごう,kaigou,meeting; assembly,JLPT_2,noun,x,
外交,がいこう,gaikou,diplomacy,JLPT_2,noun,x,
開始,かいし,kaishi,start; commencement; beginning,JLPT_2,noun,o,
解釈,かいしゃく,kaishaku,explanation; interpretation,JLPT_2,noun,x,
外出,がいしゅつ,gaishitsu,outing; going out,JLPT_2,noun,x,
改善,かいぜん,kaizen,betterment; improvement,JLPT_2,noun,o,
快適,かいてき,kaiteki,pleasant; agreeable,JLPT_2,noun,x,
回復,かいふく,kaifuku,recovery (from illness); rehabilitation; restoration,JLPT_2,noun,x,
飼う,かう,kau,to keep; to own (a pet); to raise; to feed,JLPT_3,verb,x,transitive
帰す,かえす,kaesu,to send back,JLPT_2,verb,x,transitive
代える,かえる,kaeru,to exchange; to interchange; to substitute,JLPT_2,verb,x,transitive
替える,かえる,kaeru,to exchange; to interchange; to substitute,JLPT_2,verb,x,transitive
換える,かえる,kaeru,to exchange; to interchange; to substitute,JLPT_3,verb,x,transitive
反る,かえる,kaeru,to warp; to be warped; to curve,JLPT_2,verb,x,intransitive
香り,かおり,kaori,aroma; fragrance,JLPT_2,noun,x,
画家,がか,gaka,painter,JLPT_2,noun,x,
抱える,かかえる,kakaeru,to hold or carry under or in the arms,JLPT_3,verb,x,transitive
価格,かかく,kakaku,price; value,JLPT_2,noun,x,
化学,かがく,kagaku,chemistry,JLPT_2,noun,x,
輝く,かがやく,kagayaku,to shine; to glitter; to sparkle,JLPT_3,verb,x,intransitive
係,かかり,kakari,person in charge,JLPT_2,noun,x,
罹る,かかる,kakaru,to suffer from,JLPT_3,verb,x,intransitive
限る,かぎる,kagiru,to restrict; to limit; to confine,JLPT_3,verb,x,both
掻く,かく,kaku,to scratch,JLPT_2,verb,x,transitive
描く,かく,kaku,to draw; to depict; to describe,JLPT_3,verb,o,transitive
嗅ぐ,かぐ,kagu,to sniff; to smell,JLPT_2,verb,x,transitive
家具,かぐ,kagu,furniture,JLPT_3,noun,x,
学,がく,gaku,learning; knowledge,JLPT_2,noun,x,
額,がく,gaku,amount; frame,JLPT_2,noun,x,
覚悟,かくご,kakugo,resolution; resignation; readiness,JLPT_2,noun,x,
確実,かくじつ,kakujitsu,certainty; reliability; soundness,JLPT_2,adjective,x,
学者,がくしゃ,gakusha,scholar,JLPT_2,noun,x,
学習,がくしゅう,gakushuu,study; learning,JLPT_2,noun,x,
隠す,かくす,kakusu,to hide; to conceal,JLPT_3,verb,x,transitive
拡大,かくだい,kakudai,magnification; enlargement,JLPT_2,noun,x,
確認,かくにん,kakunin,affirmation; confirmation,JLPT_2,noun,o,
学問,がくもん,gakumon,scholarship; study; learning,JLPT_2,noun,x,
隠れる,かくれる,kakureru,to hide; to be hidden,JLPT_3,verb,x,intransitive
影,かげ,kage,shade; shadow; other side,JLPT_2,noun,x,
陰,かげ,kage,shade; shadow; other side,JLPT_2,noun,x,
欠ける,かける,kakeru,to be lacking,JLPT_3,verb,x,intransitive
加減,かげん,kagen,adjustment; addition and subtraction,JLPT_2,noun,x,
過去,かこ,kako,past,JLPT_3,noun,x,
籠,かご,kago,basket; cage,JLPT_2,noun,x,
囲む,かこむ,kakomu,to surround; to encircle,JLPT_3,verb,x,transitive
火災,かさい,kasai,conflagration; fire,JLPT_2,noun,x,
重なる,かさなる,kasanaru,to be piled up; lie on top of one another,JLPT_2,verb,x,intransitive
重ねる,かさねる,kasaneru,to pile up; to put something on another; to heap up,JLPT_2,verb,x,transitive
飾り,かざり,kazari,decoration,JLPT_2,noun,x,
貸し,かし,kashi,loan; lending,JLPT_2,noun,x,
菓子,かし,kashi,confectionery; sweet,JLPT_2,noun,x,
家事,かじ,kaji,household matters; housework (same as 家の仕事 (いえのしごと)),JLPT_3,noun,x,
賢い,かしこい,kashikoi,wise; clever; smart,JLPT_2,adjective,x,
歌手,かしゅ,kashu,singer,JLPT_3,noun,x,
数,かず,kazu,number; figure; amount,JLPT_3,noun,x,
稼ぐ,かせぐ,kasegu,to earn income; to labor,JLPT_3,verb,x,both
数える,かぞえる,kazoeru,to count,JLPT_3,verb,x,transitive
型,かた,kata,mold; model; style,JLPT_2,noun,x,
肩,かた,kata,shoulder,JLPT_2,noun,x,
堅い,かたい,katai,hard; firm; solid,JLPT_2,adjective,x,
硬い,かたい,katai,hard; firm; solid,JLPT_2,adjective,x,
方々,かたがた,katagata,persons,JLPT_2,noun,x,
片付く,かたづく,katazuku,to put in order; to solve,JLPT_2,verb,x,intransitive
刀,かたな,katana,sword; saber,JLPT_2,noun,x,
語る,かたる,kataru,to talk; to tell; to recite,JLPT_3,verb,x,transitive
勝ち,かち,kachi,win; victory,JLPT_2,noun,x,
価値,かち,kachi,value; worth; merit,JLPT_2,noun,x,
がっかり,がっかり,gakkari,feel disappointed; be dejected; lose heart,JLPT_2,adverb,x,
活気,かっき,kakki,vigor; liveliness; vitality; energy,JLPT_1,noun,x,
楽器,がっき,gakki,musical instrument,JLPT_3,noun,x,
学期,がっき,gakki,term (school),JLPT_2,noun,x,
活動,かつどう,katsudou,action; activity,JLPT_2,noun,x,
活躍,かつやく,katsuyaku,activity,JLPT_2,noun,x,
活用,かつよう,katsuyou,conjugation; practical use,JLPT_2,noun,x,
仮定,かてい,katei,assumption; supposition; hypothesis,JLPT_2,noun,x,
過程,かてい,katei,process,JLPT_2,noun,x,
課程,かてい,katei,course; curriculum,JLPT_2,noun,x,
悲しむ,かなしむ,kanashimu,to be sad; to mourn for; to regret,JLPT_3,verb,x,transitive
必ずしも,かならずしも,kanarazushimo,(not) always; (not) necessarily,JLPT_2,adverb,x,
かなり,かなり,kanari,considerably; fairly; quite,JLPT_3,adverb,x,
金,かね,kane,gold; metal; money,JLPT_2,noun,x,
鐘,かね,kane,bell; chime,JLPT_2,noun,x,
可能,かのう,kanou,possible; practicable; feasible,JLPT_2,adjective,x,
株,かぶ,kabu,stock; stump (of tree),JLPT_2,noun,x,
被る,かぶる,kaburu,to wear; to be covered with,JLPT_3,verb,x,both
我慢,がまん,gaman,patience; endurance; perseverance,JLPT_2,noun,x,
上,かみ,kami,first volume; superior quality; governmental,JLPT_2,noun,x,
神,かみ,kami,god,JLPT_2,noun,x,
雷,かみなり,kaminari,thunder,JLPT_2,noun,x,
髪の毛,かみのけ,kaminoke,hair (head),JLPT_2,noun,x,
科目,かもく,kamoku,(school) subject; curriculum; course,JLPT_2,noun,x,
かもしれない,かもしれない,kamoshirenai,maybe; perhaps,JLPT_2,verb,x,unspecified
かゆい,かゆい,kayui,itchy; itching,JLPT_2,adjective,x,
歌謡,かよう,kayou,song; ballad,JLPT_2,noun,x,
空,から,kara,empty,JLPT_2,noun,x,
殻,から,kara,shell; husk; hull,JLPT_2,noun,x,
柄,がら,gara,pattern; build; character,JLPT_2,noun,x,
刈る,かる,karu,to cut (hair); to mow (grass); to harvest,JLPT_3,verb,x,transitive
河,かわ,kawa,river; stream,JLPT_2,noun,x,
皮,かわ,kawa,skin; hide; leather,JLPT_2,noun,x,
革,かわ,kawa,leather,JLPT_2,noun,x,
可愛そう,かわいそう,kawaisou,poor; pitiable; pathetic,JLPT_2,noun,x,
可愛らしい,かわいらしい,kawairashii,lovely; sweet,JLPT_2,adjective,x,
乾かす,かわかす,kawakasu,to dry,JLPT_2,verb,x,transitive
渇く,かわく,kawaku,to be thirsty,JLPT_2,verb,x,intransitive
代る,かわる,kawaru,to take the place of; to relieve; to be substituted for,JLPT_2,verb,x,intransitive
缶,かん,kan,can; tin,JLPT_1,noun,x,
勘,かん,kan,perception; intuition; the sixth sense,JLPT_2,noun,x,
考え,かんがえ,kangae,thinking; thought; ideas,JLPT_2,noun,x,
感覚,かんかく,kankaku,sense; sensation,JLPT_2,noun,x,
間隔,かんかく,kankaku,space; interval; SPC,JLPT_2,noun,x,
観客,かんきゃく,kankyaku,audience; spectator(s),JLPT_3,noun,x,
環境,かんきょう,kankyou,environment; circumstance,JLPT_3,noun,x,
歓迎,かんげい,kangei,welcome; reception,JLPT_3,noun,x,
観光,かんこう,kankou,sightseeing,JLPT_3,noun,x,
観察,かんさつ,kansatsu,observation; survey,JLPT_2,noun,x,
感じ,かんじ,kanji,feeling; sense; impression,JLPT_2,noun,x,
感謝,かんしゃ,kansha,thanks; gratitude,JLPT_2,noun,o,
患者,かんじゃ,kanja,patient,JLPT_3,noun,x,
勘定,かんじょう,kanjou,calculation; counting; consideration,JLPT_2,noun,x,
感情,かんじょう,kanjou,emotion(s); feeling(s); sentiment,JLPT_2,noun,x,
感じる,かんじる,kanjiru,to feel; to sense,JLPT_3,verb,x,both
感心,かんしん,kanshin,admiration,JLPT_2,noun,x,
関心,かんしん,kanshin,concern; interest,JLPT_2,noun,x,
関する,かんする,kansuru,to concern; to be related,JLPT_3,verb,x,intransitive
完成,かんせい,kansei,complete; completion; perfection,JLPT_2,noun,x,
完全,かんぜん,kanzen,perfection; completeness,JLPT_2,adjective,x,
乾燥,かんそう,kansou,dry; arid; dehydrated,JLPT_2,noun,x,
感想,かんそう,kansou,(one's) impressions; (one's) thoughts,JLPT_3,noun,x,
